""	"PotRichness"	"Basal_a"	"Basal_b"	"Densi_a"	"Densi_b"	"Quadr_a"	"Quadr_b"	"DHeig_a"	"DHeig_b"	"Cavit_a"	"Cavit_b"	"Shrub_a"	"Shrub_b"	"lambda"	"File"	"Variable"	"Model"
"21"	"6.610852"	"0"	"1e+07"	"0.004974309"	"2062.781"	"27.90019"	"18.90786"	"24.76868"	"9.55415"	"79.99912"	"118.4026"	"1.486363"	"468.0118"	"48.55161"	"./Results/Model Fits/TRFA_penta_complete_model.txt"	"TRFA"	"penta_complete"
"22"	"16.977"	"0"	"1e+07"	"307.2397"	"77.26694"	"16.10371"	"8.557353"	"9.797022"	"2.543215"	"14.96568"	"10.41243"	"1.000012e-05"	"34.3021"	"35.99504"	"./Results/Model Fits/UBIA_penta_complete_model.txt"	"UBIA"	"penta_complete"
"23"	"6.524667"	"0"	"1e+07"	"451.8921"	"957.6176"	"0.2552261"	"27.07424"	"29.99985"	"16.42398"	"0.4899309"	"57.03137"	"61.03937"	"59.12773"	"51.21635"	"./Results/Model Fits/UNFA_penta_complete_model.txt"	"UNFA"	"penta_complete"
"24"	"11.11898"	"0"	"1e+07"	"14.94571"	"1298.021"	"1e-05"	"26.07516"	"29.89256"	"13.40277"	"2.926824e-05"	"71.55516"	"62.57821"	"52.68933"	"96.25567"	"./Results/Model Fits/UNNA_penta_complete_model.txt"	"UNNA"	"penta_complete"
"25"	"14.4"	"0"	"1e+07"	"727.8453"	"1252.135"	"25.09248"	"19.00859"	"30"	"21.00939"	"79.99999"	"134.6992"	"0"	"1e+07"	"90.92193"	"./Results/Model Fits/CVNA_tetra_no_Shrub_model.txt"	"CVNA"	"tetra_no_Shrub"
"26"	"15.2"	"0"	"1e+07"	"1e-05"	"1198.427"	"60"	"62.20395"	"1e-05"	"22.75167"	"1e-05"	"68.05428"	"0"	"1e+07"	"28.64586"	"./Results/Model Fits/GENA_tetra_no_Shrub_model.txt"	"GENA"	"tetra_no_Shrub"
"27"	"8.8"	"0"	"1e+07"	"9626.64"	"10000"	"1e-05"	"30.53948"	"1e-05"	"14.65914"	"0.002745945"	"42.40602"	"0"	"1e+07"	"39.29501"	"./Results/Model Fits/GRFA_tetra_no_Shrub_model.txt"	"GRFA"	"tetra_no_Shrub"
"28"	"19.19476"	"0"	"1e+07"	"1e-05"	"476.3741"	"0.01343854"	"15.16623"	"1.319369e-05"	"15.58796"	"12.40782"	"7.774007"	"0"	"1e+07"	"24.30767"	"./Results/Model Fits/GRNA_tetra_no_Shrub_model.txt"	"GRNA"	"tetra_no_Shrub"
"29"	"18.75193"	"0"	"1e+07"	"1.028693e-05"	"1625.688"	"19.56101"	"43.99917"	"29.99705"	"22.60095"	"78.79355"	"270.2492"	"0"	"1e+07"	"26.37284"	"./Results/Model Fits/OVFA_tetra_no_Shrub_model.txt"	"OVFA"	"tetra_no_Shrub"
"30"	"14.4"	"0"	"1e+07"	"1e-05"	"1133.918"	"1.00005e-05"	"79.25197"	"30"	"18.00974"	"0.02524752"	"105.0162"	"0"	"1e+07"	"10.72351"	"./Results/Model Fits/OVNA_tetra_no_Shrub_model.txt"	"OVNA"	"tetra_no_Shrub"
"31"	"20.27143"	"0"	"1e+07"	"438.0637"	"1714.312"	"24.43802"	"23.22342"	"29.75423"	"16.35522"	"80"	"177.7283"	"0"	"1e+07"	"1.113323"	"./Results/Model Fits/SPEA_tetra_no_Shrub_model.txt"	"SPEA"	"tetra_no_Shrub"
"32"	"33.12584"	"0"	"1e+07"	"1e-05"	"1562.336"	"1e-05"	"57.52174"	"30"	"21.04942"	"28.13967"	"138.7586"	"0"	"1e+07"	"83.98833"	"./Results/Model Fits/TOTA_tetra_no_Shrub_model.txt"	"TOTA"	"tetra_no_Shrub"
"33"	"8.213526"	"0"	"1e+07"	"0.003961474"	"1914.989"	"30.56837"	"29.25848"	"26.27325"	"9.617896"	"79.99465"	"100.5222"	"0"	"1e+07"	"69.15954"	"./Results/Model Fits/TRFA_tetra_no_Shrub_model.txt"	"TRFA"	"tetra_no_Shrub"
"34"	"10.52621"	"0"	"1e+07"	"295.0332"	"75.14165"	"13.57231"	"11.42941"	"11.51551"	"2.128718"	"11.76936"	"8.229324"	"0"	"1e+07"	"1.155592"	"./Results/Model Fits/UBIA_tetra_no_Shrub_model.txt"	"UBIA"	"tetra_no_Shrub"
"35"	"6.402219"	"0"	"1e+07"	"519.101"	"852.0768"	"0.01456701"	"23.85202"	"30"	"15.8242"	"0.00904702"	"84.66525"	"0"	"1e+07"	"93.67044"	"./Results/Model Fits/UNFA_tetra_no_Shrub_model.txt"	"UNFA"	"tetra_no_Shrub"
"36"	"7.200026"	"0"	"1e+07"	"462.3455"	"831.8531"	"1e-05"	"27.56242"	"29.87586"	"15.13904"	"0.1474699"	"77.13581"	"0"	"1e+07"	"81.38596"	"./Results/Model Fits/UNNA_tetra_no_Shrub_model.txt"	"UNNA"	"tetra_no_Shrub"
"37"	"14.4"	"0"	"1e+07"	"791.7953"	"1042.616"	"26.20927"	"22.74017"	"30"	"20.12131"	"0"	"1e+07"	"1e-05"	"123.7951"	"10.74419"	"./Results/Model Fits/CVNA_tetra_no_Cavit_model.txt"	"CVNA"	"tetra_no_Cavit"
"38"	"15.2"	"0"	"1e+07"	"0.0004128075"	"1083.989"	"1e-05"	"37.11329"	"30"	"30.14617"	"0"	"1e+07"	"99.99314"	"231.2694"	"98.74449"	"./Results/Model Fits/GENA_tetra_no_Cavit_model.txt"	"GENA"	"tetra_no_Cavit"
"39"	"8.8"	"0"	"1e+07"	"1e-05"	"836.8873"	"1e-05"	"20.22432"	"30"	"29.99484"	"0"	"1e+07"	"65.85608"	"99.47267"	"1.973775"	"./Results/Model Fits/GRFA_tetra_no_Cavit_model.txt"	"GRFA"	"tetra_no_Cavit"
"40"	"7.2"	"0"	"1e+07"	"0.01658667"	"673.6759"	"1e-05"	"16.76765"	"1.107744e-05"	"16.35886"	"0"	"1e+07"	"99.9971"	"350.2866"	"11.88441"	"./Results/Model Fits/GRNA_tetra_no_Cavit_model.txt"	"GRNA"	"tetra_no_Cavit"
"41"	"18.33738"	"0"	"1e+07"	"1e-05"	"1639.529"	"21.73285"	"44.69445"	"29.99957"	"23.63128"	"0"	"1e+07"	"0.09196203"	"197.897"	"99.64478"	"./Results/Model Fits/OVFA_tetra_no_Cavit_model.txt"	"OVFA"	"tetra_no_Cavit"
"42"	"14.4"	"0"	"1e+07"	"9706.657"	"9998.545"	"60"	"71.12582"	"30"	"32.56108"	"0"	"1e+07"	"99.96769"	"205.4982"	"79.77585"	"./Results/Model Fits/OVNA_tetra_no_Cavit_model.txt"	"OVNA"	"tetra_no_Cavit"
"43"	"19.02761"	"0"	"1e+07"	"601.4164"	"1475.078"	"24.92197"	"22.17174"	"30"	"17.24875"	"0"	"1e+07"	"2.181978"	"177.6027"	"58.05055"	"./Results/Model Fits/SPEA_tetra_no_Cavit_model.txt"	"SPEA"	"tetra_no_Cavit"
"44"	"32.78352"	"0"	"1e+07"	"1e-05"	"1563.267"	"0.03723895"	"59.19915"	"30"	"21.41932"	"0"	"1e+07"	"0.03820911"	"293.7248"	"9.321814"	"./Results/Model Fits/TOTA_tetra_no_Cavit_model.txt"	"TOTA"	"tetra_no_Cavit"
"45"	"6.462131"	"0"	"1e+07"	"1.034883e-05"	"2140.469"	"32.66916"	"25.02888"	"25.65187"	"9.589852"	"0"	"1e+07"	"0.2402518"	"263.505"	"60.56701"	"./Results/Model Fits/TRFA_tetra_no_Cavit_model.txt"	"TRFA"	"tetra_no_Cavit"
"46"	"17.99948"	"0"	"1e+07"	"294.6064"	"68.45577"	"20.68705"	"5.887086"	"9.846301"	"2.151137"	"0"	"1e+07"	"1e-05"	"30.82057"	"29.42272"	"./Results/Model Fits/UBIA_tetra_no_Cavit_model.txt"	"UBIA"	"tetra_no_Cavit"
"47"	"6.4"	"0"	"1e+07"	"490.9709"	"1015.146"	"0.1877273"	"25.84317"	"30"	"16.55043"	"0"	"1e+07"	"63.76494"	"58.35956"	"0.3530497"	"./Results/Model Fits/UNFA_tetra_no_Cavit_model.txt"	"UNFA"	"tetra_no_Cavit"
"48"	"9.941683"	"0"	"1e+07"	"57.5855"	"1271.777"	"1.127793e-05"	"26.43021"	"30"	"13.90244"	"0"	"1e+07"	"63.288"	"54.94445"	"79.54716"	"./Results/Model Fits/UNNA_tetra_no_Cavit_model.txt"	"UNNA"	"tetra_no_Cavit"
"49"	"14.40001"	"0"	"1e+07"	"915.2511"	"1010.78"	"59.9896"	"48.6283"	"0"	"1e+07"	"79.90545"	"211.9305"	"1.003465e-05"	"121.8381"	"6.956526"	"./Results/Model Fits/CVNA_tetra_no_DHeig_model.txt"	"CVNA"	"tetra_no_DHeig"
"50"	"15.2"	"0"	"1e+07"	"1.067704e-05"	"1067.415"	"1e-05"	"33.61504"	"0"	"1e+07"	"29.46187"	"46.22054"	"100"	"237.6198"	"42.9417"	"./Results/Model Fits/GENA_tetra_no_DHeig_model.txt"	"GENA"	"tetra_no_DHeig"
"51"	"8.8"	"0"	"1e+07"	"10000"	"10000"	"1e-05"	"20.90875"	"0"	"1e+07"	"1e-05"	"39.95703"	"60.98756"	"68.74543"	"74.2038"	"./Results/Model Fits/GRFA_tetra_no_DHeig_model.txt"	"GRFA"	"tetra_no_DHeig"
"52"	"18.26925"	"0"	"1e+07"	"1e-05"	"459.0935"	"1e-05"	"13.58429"	"0"	"1e+07"	"12.05139"	"7.583363"	"99.73568"	"834.5883"	"1.874268"	"./Results/Model Fits/GRNA_tetra_no_DHeig_model.txt"	"GRNA"	"tetra_no_DHeig"
"53"	"16.8"	"0"	"1e+07"	"1e-05"	"1910.353"	"60"	"64.61506"	"0"	"1e+07"	"30.45367"	"140.2949"	"0.004832793"	"171.0075"	"64.47289"	"./Results/Model Fits/OVFA_tetra_no_DHeig_model.txt"	"OVFA"	"tetra_no_DHeig"
"54"	"14.4"	"0"	"1e+07"	"9166.006"	"10000"	"59.99957"	"49.64578"	"0"	"1e+07"	"1e-05"	"69.10004"	"45.61292"	"141.6422"	"86.09084"	"./Results/Model Fits/OVNA_tetra_no_DHeig_model.txt"	"OVNA"	"tetra_no_DHeig"
"55"	"16"	"0"	"1e+07"	"911.463"	"1166.003"	"43.0068"	"31.71127"	"0"	"1e+07"	"79.99853"	"267.103"	"0.004976392"	"136.319"	"8.670047"	"./Results/Model Fits/SPEA_tetra_no_DHeig_model.txt"	"SPEA"	"tetra_no_DHeig"
"56"	"24"	"0"	"1e+07"	"1e-05"	"1903.311"	"52.55811"	"83.41698"	"0"	"1e+07"	"25.31865"	"98.00119"	"3.75753"	"188.2138"	"68.86218"	"./Results/Model Fits/TOTA_tetra_no_DHeig_model.txt"	"TOTA"	"tetra_no_DHeig"
"57"	"4.8"	"0"	"1e+07"	"7921.218"	"9895.429"	"28.38384"	"10.53105"	"0"	"1e+07"	"79.82031"	"150.7115"	"10.51268"	"234.1056"	"96.88901"	"./Results/Model Fits/TRFA_tetra_no_DHeig_model.txt"	"TRFA"	"tetra_no_DHeig"
"58"	"17.3722"	"0"	"1e+07"	"279.4616"	"83.64102"	"13.44236"	"6.495711"	"0"	"1e+07"	"18.2249"	"10.72048"	"3.659692"	"32.5444"	"83.35594"	"./Results/Model Fits/UBIA_tetra_no_DHeig_model.txt"	"UBIA"	"tetra_no_DHeig"
"59"	"6.4"	"0"	"1e+07"	"9999.909"	"7586.825"	"1.163499e-05"	"43.36598"	"0"	"1e+07"	"2.492647"	"71.24967"	"56.89472"	"44.68607"	"87.3678"	"./Results/Model Fits/UNFA_tetra_no_DHeig_model.txt"	"UNFA"	"tetra_no_DHeig"
"60"	"7.200001"	"0"	"1e+07"	"9997.93"	"7473.584"	"1.002933e-05"	"64.43196"	"0"	"1e+07"	"1.376303"	"66.00053"	"58.74653"	"44.22477"	"72.98895"	"./Results/Model Fits/UNNA_tetra_no_DHeig_model.txt"	"UNNA"	"tetra_no_DHeig"
"61"	"14.4"	"0"	"1e+07"	"783.6222"	"1104.772"	"0"	"1e+07"	"28.98169"	"19.91054"	"80"	"154.389"	"1.000001e-05"	"133.9557"	"87.58927"	"./Results/Model Fits/CVNA_tetra_no_Quadr_model.txt"	"CVNA"	"tetra_no_Quadr"
"62"	"15.2"	"0"	"1e+07"	"1e-05"	"1004.772"	"0"	"1e+07"	"30"	"25.13485"	"1e-05"	"66.63758"	"100"	"154.6912"	"66.14568"	"./Results/Model Fits/GENA_tetra_no_Quadr_model.txt"	"GENA"	"tetra_no_Quadr"
"63"	"8.8"	"0"	"1e+07"	"9274.683"	"9999.972"	"0"	"1e+07"	"1e-05"	"12.00919"	"1.216174e-05"	"35.52736"	"48.71392"	"74.7328"	"99.63412"	"./Results/Model Fits/GRFA_tetra_no_Quadr_model.txt"	"GRFA"	"tetra_no_Quadr"
"64"	"14.39389"	"0"	"1e+07"	"1e-05"	"535.5832"	"0"	"1e+07"	"0.0002784844"	"8.009225"	"10.55285"	"7.268497"	"17.38814"	"998.0788"	"7.68072"	"./Results/Model Fits/GRNA_tetra_no_Quadr_model.txt"	"GRNA"	"tetra_no_Quadr"
"65"	"18.03966"	"0"	"1e+07"	"1.002406e-05"	"1660.548"	"0"	"1e+07"	"29.99992"	"24.21212"	"35.83339"	"178.8911"	"3.801092e-05"	"197.6367"	"29.90058"	"./Results/Model Fits/OVFA_tetra_no_Quadr_model.txt"	"OVFA"	"tetra_no_Quadr"
"66"	"14.4"	"0"	"1e+07"	"10000"	"9999.999"	"0"	"1e+07"	"30"	"25.1884"	"1e-05"	"75.90192"	"99.96245"	"264.8116"	"55.51399"	"./Results/Model Fits/OVNA_tetra_no_Quadr_model.txt"	"OVNA"	"tetra_no_Quadr"
"67"	"20.80658"	"0"	"1e+07"	"581.8373"	"1515.513"	"0"	"1e+07"	"29.9973"	"16.03675"	"79.97883"	"195.0621"	"0.002937453"	"180.3812"	"99.8358"	"./Results/Model Fits/SPEA_tetra_no_Quadr_model.txt"	"SPEA"	"tetra_no_Quadr"
"68"	"28.35011"	"0"	"1e+07"	"1.000299e-05"	"1648.009"	"0"	"1e+07"	"30"	"24.00499"	"10.4672"	"154.8887"	"3.8824"	"266.6297"	"22.85787"	"./Results/Model Fits/TOTA_tetra_no_Quadr_model.txt"	"TOTA"	"tetra_no_Quadr"
"69"	"6.958815"	"0"	"1e+07"	"0.2705966"	"1940.748"	"0"	"1e+07"	"23.07493"	"7.936301"	"79.97564"	"93.43755"	"2.192638"	"599.6791"	"32.08788"	"./Results/Model Fits/TRFA_tetra_no_Quadr_model.txt"	"TRFA"	"tetra_no_Quadr"
"70"	"16.47331"	"0"	"1e+07"	"309.3836"	"74.55463"	"0"	"1e+07"	"9.616051"	"2.397514"	"10.45962"	"7.802769"	"4.679313e-05"	"32.36233"	"75.60492"	"./Results/Model Fits/UBIA_tetra_no_Quadr_model.txt"	"UBIA"	"tetra_no_Quadr"
"71"	"6.4"	"0"	"1e+07"	"10000"	"7055.24"	"0"	"1e+07"	"29.35398"	"51.75562"	"0.004737655"	"67.36231"	"58.1047"	"47.57314"	"35.77222"	"./Results/Model Fits/UNFA_tetra_no_Quadr_model.txt"	"UNFA"	"tetra_no_Quadr"
"72"	"7.2"	"0"	"1e+07"	"1.000004e-05"	"1355.078"	"0"	"1e+07"	"29.99915"	"14.09671"	"8.127882e-05"	"42.55428"	"62.6746"	"54.24439"	"23.29889"	"./Results/Model Fits/UNNA_tetra_no_Quadr_model.txt"	"UNNA"	"tetra_no_Quadr"
"73"	"14.4"	"0"	"1e+07"	"0"	"1e+07"	"25.94194"	"21.73568"	"30"	"21.05039"	"79.99913"	"140.319"	"1e-05"	"154.6194"	"80.3295"	"./Results/Model Fits/CVNA_tetra_no_Densi_model.txt"	"CVNA"	"tetra_no_Densi"
"74"	"15.20002"	"0"	"1e+07"	"0"	"1e+07"	"0.0002553634"	"30.59745"	"30"	"27.06721"	"1e-05"	"70.50422"	"100"	"134.5815"	"22.81228"	"./Results/Model Fits/GENA_tetra_no_Densi_model.txt"	"GENA"	"tetra_no_Densi"
"75"	"8.8"	"0"	"1e+07"	"0"	"1e+07"	"0.0001331774"	"24.48956"	"1.011869e-05"	"12.43528"	"14.31238"	"26.99071"	"45.19331"	"58.9447"	"47.09227"	"./Results/Model Fits/GRFA_tetra_no_Densi_model.txt"	"GRFA"	"tetra_no_Densi"
"76"	"7.2"	"0"	"1e+07"	"0"	"1e+07"	"2.401104"	"17.75724"	"0.2350912"	"9.89022"	"11.83125"	"19.28233"	"57.30293"	"56.53134"	"51.37448"	"./Results/Model Fits/GRNA_tetra_no_Densi_model.txt"	"GRNA"	"tetra_no_Densi"
"77"	"16.8"	"0"	"1e+07"	"0"	"1e+07"	"60"	"69.40378"	"30"	"33.44137"	"1.000004e-05"	"155.6811"	"0.003688001"	"204.8603"	"54.46035"	"./Results/Model Fits/OVFA_tetra_no_Densi_model.txt"	"OVFA"	"tetra_no_Densi"
"78"	"14.4"	"0"	"1e+07"	"0"	"1e+07"	"60"	"44.34986"	"30"	"23.62829"	"1e-05"	"63.1922"	"100"	"183.5558"	"99.66278"	"./Results/Model Fits/OVNA_tetra_no_Densi_model.txt"	"OVNA"	"tetra_no_Densi"
"79"	"18.3516"	"0"	"1e+07"	"0"	"1e+07"	"25.81047"	"23.20222"	"30"	"17.9735"	"80"	"230.811"	"28.43105"	"135.3988"	"90.65392"	"./Results/Model Fits/SPEA_tetra_no_Densi_model.txt"	"SPEA"	"tetra_no_Densi"
"80"	"24.00056"	"0"	"1e+07"	"0"	"1e+07"	"0.0003812781"	"146.0236"	"30"	"29.57252"	"1e-05"	"143.2653"	"42.53898"	"124.4571"	"35.0275"	"./Results/Model Fits/TOTA_tetra_no_Densi_model.txt"	"TOTA"	"tetra_no_Densi"
"81"	"8.320604"	"0"	"1e+07"	"0"	"1e+07"	"39.72644"	"35.3031"	"28.84308"	"11.01238"	"79.99937"	"115.6435"	"5.122758"	"964.1479"	"99.99521"	"./Results/Model Fits/TRFA_tetra_no_Densi_model.txt"	"TRFA"	"tetra_no_Densi"
"82"	"14.61033"	"0"	"1e+07"	"0"	"1e+07"	"22.87102"	"4.549369"	"8.551807"	"3.691716"	"8.40524"	"1.162636"	"0.1517475"	"995.9768"	"34.40128"	"./Results/Model Fits/UBIA_tetra_no_Densi_model.txt"	"UBIA"	"tetra_no_Densi"
"83"	"6.4"	"0"	"1e+07"	"0"	"1e+07"	"1.051887e-05"	"26.18741"	"30"	"16.32834"	"0.000962071"	"60.18166"	"59.61311"	"49.47439"	"78.60975"	"./Results/Model Fits/UNFA_tetra_no_Densi_model.txt"	"UNFA"	"tetra_no_Densi"
"84"	"7.2"	"0"	"1e+07"	"0"	"1e+07"	"1.271107e-05"	"29.09573"	"29.99638"	"16.00216"	"1.000003e-05"	"63.52592"	"61.62289"	"47.77668"	"99.97377"	"./Results/Model Fits/UNNA_tetra_no_Densi_model.txt"	"UNNA"	"tetra_no_Densi"
"85"	"14.4"	"37.31627"	"55.84824"	"0"	"1e+07"	"0"	"1e+07"	"30"	"22.1563"	"79.77885"	"143.4935"	"0.0004835472"	"137.4357"	"90.99915"	"./Results/Model Fits/CVNA_tetra_complete_model.txt"	"CVNA"	"tetra_complete"
"86"	"15.2"	"1e-05"	"50.56276"	"0"	"1e+07"	"0"	"1e+07"	"30"	"22.66059"	"1.724582e-05"	"86.7039"	"99.99373"	"148.7434"	"75.99832"	"./Results/Model Fits/GENA_tetra_complete_model.txt"	"GENA"	"tetra_complete"
"87"	"8.8"	"99.99688"	"144.1651"	"0"	"1e+07"	"0"	"1e+07"	"1e-05"	"10.35362"	"1e-05"	"32.51901"	"46.83289"	"67.47453"	"12.25251"	"./Results/Model Fits/GRFA_tetra_complete_model.txt"	"GRFA"	"tetra_complete"
"88"	"7.863023"	"2.898454"	"8.129867"	"0"	"1e+07"	"0"	"1e+07"	"26.74698"	"604.9083"	"12.03799"	"7.891762"	"0.2347441"	"975.4359"	"46.08785"	"./Results/Model Fits/GRNA_tetra_complete_model.txt"	"GRNA"	"tetra_complete"
"89"	"18.84075"	"1e-05"	"83.52962"	"0"	"1e+07"	"0"	"1e+07"	"30"	"23.29058"	"79.99994"	"205.5013"	"0.000125058"	"207.7172"	"67.98755"	"./Results/Model Fits/OVFA_tetra_complete_model.txt"	"OVFA"	"tetra_complete"
"90"	"14.4"	"1e-05"	"61.79128"	"0"	"1e+07"	"0"	"1e+07"	"30"	"16.55915"	"1.06666e-05"	"128.8193"	"99.99995"	"248.3708"	"91.64221"	"./Results/Model Fits/OVNA_tetra_complete_model.txt"	"OVNA"	"tetra_complete"
"91"	"20.63961"	"24.72758"	"94.38829"	"0"	"1e+07"	"0"	"1e+07"	"30"	"16.25006"	"80"	"175.0849"	"1.029949e-05"	"193.7918"	"99.92408"	"./Results/Model Fits/SPEA_tetra_complete_model.txt"	"SPEA"	"tetra_complete"
"92"	"28.82607"	"7.345686e-05"	"79.7919"	"0"	"1e+07"	"0"	"1e+07"	"29.98351"	"22.84924"	"34.52895"	"214.2501"	"33.13135"	"170.3382"	"99.63529"	"./Results/Model Fits/TOTA_tetra_complete_model.txt"	"TOTA"	"tetra_complete"
"93"	"6.127143"	"0.7327867"	"134.4139"	"0"	"1e+07"	"0"	"1e+07"	"22.38743"	"7.90566"	"79.98784"	"91.5302"	"77.08623"	"797.1527"	"8.3476"	"./Results/Model Fits/TRFA_tetra_complete_model.txt"	"TRFA"	"tetra_complete"
"94"	"17.99417"	"1e-05"	"7.817983"	"0"	"1e+07"	"0"	"1e+07"	"12.81159"	"2.713999"	"10.6979"	"3.24455"	"1.432088"	"992.816"	"8.073687"	"./Results/Model Fits/UBIA_tetra_complete_model.txt"	"UBIA"	"tetra_complete"
"95"	"6.4"	"2.034427e-05"	"48.24926"	"0"	"1e+07"	"0"	"1e+07"	"30"	"14.52102"	"5.21341e-05"	"55.9721"	"61.13168"	"47.66348"	"20.87667"	"./Results/Model Fits/UNFA_tetra_complete_model.txt"	"UNFA"	"tetra_complete"
