"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File"	"Variable"	"Model"
-826.8187	8	1670.959	1669.637	0.9838818	-0.00475067	NA	"./Results/Model Fits/GENA_no_Cavit_Densi_model.txt"	"GENA"	"no_Cavit_Densi"
-829.2152	8	1675.751	1674.43	0.9929615	-0.008102465	NA	"./Results/Model Fits/GENA_no_Cavit_DHeig_model.txt"	"GENA"	"no_Cavit_DHeig"
-823.0863	8	1663.494	1662.173	0.9932735	0.0004695827	NA	"./Results/Model Fits/GENA_no_Cavit_Quadr_model.txt"	"GENA"	"no_Cavit_Quadr"
-848.9595	8	1715.24	1713.919	0.9725122	-0.03571733	NA	"./Results/Model Fits/GENA_no_DHeig_Densi_model.txt"	"GENA"	"no_DHeig_Densi"
-819.1165	8	1655.554	1654.233	0.9868643	0.006021892	NA	"./Results/Model Fits/GENA_no_DHeig_Quadr_model.txt"	"GENA"	"no_DHeig_Quadr"
-831.929	8	1681.179	1679.858	0.9601117	-0.01189804	NA	"./Results/Model Fits/GENA_no_Quadr_Densi_model.txt"	"GENA"	"no_Quadr_Densi"
-828.6044	8	1674.53	1673.209	0.9926704	-0.007248199	NA	"./Results/Model Fits/GENA_no_Shrub_Cavit_model.txt"	"GENA"	"no_Shrub_Cavit"
-791.9228	8	1601.167	1599.846	0.9871597	0.04405567	NA	"./Results/Model Fits/GENA_no_Shrub_Densi_model.txt"	"GENA"	"no_Shrub_Densi"
-752.3631	8	1522.047	1520.726	0.9634919	0.09938495	NA	"./Results/Model Fits/GENA_no_Shrub_DHeig_model.txt"	"GENA"	"no_Shrub_DHeig"
-797.1105	8	1611.542	1610.221	0.9939436	0.03679996	NA	"./Results/Model Fits/GENA_no_Shrub_Quadr_model.txt"	"GENA"	"no_Shrub_Quadr"
-3803.295	2	7610.694	7610.589	62.82895	-4.167728	NA	"./Results/Model Fits/GENA_null_null_null_model.txt"	"GENA"	"null_null_null"
-673.2817	12	1373.535	1370.563	0.9960992	0.2099902	NA	"./Results/Model Fits/GENA_penta_complete_model.txt"	"GENA"	"penta_complete"
-703.9935	10	1430.043	1427.987	0.9825634	0.1670359	NA	"./Results/Model Fits/GENA_tetra_complete_model.txt"	"GENA"	"tetra_complete"
-687.5601	10	1397.176	1395.12	0.9977322	0.1900201	NA	"./Results/Model Fits/GENA_tetra_no_Cavit_model.txt"	"GENA"	"tetra_no_Cavit"
-806.8105	10	1635.677	1633.621	0.9804484	0.0232334	NA	"./Results/Model Fits/GENA_tetra_no_Densi_model.txt"	"GENA"	"tetra_no_Densi"
-697.6305	10	1417.317	1415.261	0.9804789	0.1759354	NA	"./Results/Model Fits/GENA_tetra_no_DHeig_model.txt"	"GENA"	"tetra_no_DHeig"
-709.7994	10	1441.655	1439.599	0.9784968	0.1589156	NA	"./Results/Model Fits/GENA_tetra_no_Quadr_model.txt"	"GENA"	"tetra_no_Quadr"
-717.1754	10	1456.407	1454.351	0.9824838	0.1485994	NA	"./Results/Model Fits/GENA_tetra_no_Shrub_model.txt"	"GENA"	"tetra_no_Shrub"
-1718.123	4	3444.6	3444.246	0.774571	-1.251353	NA	"./Results/Model Fits/GENA_univaria_Basal_model.txt"	"GENA"	"univaria_Basal"
-1301.519	4	2611.391	2611.037	0.8517842	-0.6686786	NA	"./Results/Model Fits/GENA_univaria_Cavit_model.txt"	"GENA"	"univaria_Cavit"
-996.5954	4	2001.545	2001.191	0.8500165	-0.2422048	NA	"./Results/Model Fits/GENA_univaria_Densi_model.txt"	"GENA"	"univaria_Densi"
-911.3733	4	1831.101	1830.747	0.9328812	-0.123011	NA	"./Results/Model Fits/GENA_univaria_DHeig_model.txt"	"GENA"	"univaria_DHeig"
-889.6664	4	1787.687	1787.333	0.9910887	-0.09265114	NA	"./Results/Model Fits/GENA_univaria_DVari_model.txt"	"GENA"	"univaria_DVari"
-2538.774	4	5085.903	5085.549	0.6781919	-2.399137	NA	"./Results/Model Fits/GENA_univaria_Herba_model.txt"	"GENA"	"univaria_Herba"
-1147.252	4	2302.857	2302.503	0.9097639	-0.4529167	NA	"./Results/Model Fits/GENA_univaria_Quadr_model.txt"	"GENA"	"univaria_Quadr"
-1923.248	4	3854.851	3854.497	0.698519	-1.538246	NA	"./Results/Model Fits/GENA_univaria_Shrub_model.txt"	"GENA"	"univaria_Shrub"
-2007.239	4	4022.831	4022.478	0.6956224	-1.655717	NA	"./Results/Model Fits/GENA_univaria_Snags_model.txt"	"GENA"	"univaria_Snags"
-1848.783	4	3705.92	3705.566	0.7023636	-1.434097	NA	"./Results/Model Fits/GENA_univaria_Thick_model.txt"	"GENA"	"univaria_Thick"
-445.9358	6	904.6283	903.8715	0.9327847	-0.04156086	NA	"./Results/Model Fits/GRFA_bi_Basal_Cavit_model.txt"	"GRFA"	"bi_Basal_Cavit"
-430.2574	6	873.2716	872.5148	0.9392773	0.00682407	NA	"./Results/Model Fits/GRFA_bi_Basal_DHeig_model.txt"	"GRFA"	"bi_Basal_DHeig"
-492.1651	6	997.087	996.3303	0.7732323	-0.1842292	NA	"./Results/Model Fits/GRFA_bi_Basal_Shrub_model.txt"	"GRFA"	"bi_Basal_Shrub"
-561.9603	6	1136.677	1135.921	0.7694172	-0.3996237	NA	"./Results/Model Fits/GRFA_bi_Cavit_Shrub_model.txt"	"GRFA"	"bi_Cavit_Shrub"
-443.6118	6	899.9803	899.2235	0.9261897	-0.03438873	NA	"./Results/Model Fits/GRFA_bi_Densi_Cavit_model.txt"	"GRFA"	"bi_Densi_Cavit"
-408.4243	6	829.6054	828.8487	0.992056	0.07420305	NA	"./Results/Model Fits/GRFA_bi_Densi_DHeig_model.txt"	"GRFA"	"bi_Densi_DHeig"
-408.1927	6	829.1422	828.3855	0.9820654	0.07491782	NA	"./Results/Model Fits/GRFA_bi_Densi_Quadr_model.txt"	"GRFA"	"bi_Densi_Quadr"
-447.5386	6	907.834	907.0773	0.9774949	-0.04650745	NA	"./Results/Model Fits/GRFA_bi_Densi_Shrub_model.txt"	"GRFA"	"bi_Densi_Shrub"
-413.2482	6	839.2533	838.4965	0.9255113	0.05931601	NA	"./Results/Model Fits/GRFA_bi_DHeig_Cavit_model.txt"	"GRFA"	"bi_DHeig_Cavit"
-418.2786	6	849.314	848.5573	0.9371509	0.04379176	NA	"./Results/Model Fits/GRFA_bi_DHeig_Shrub_model.txt"	"GRFA"	"bi_DHeig_Shrub"
-415.5094	6	843.7756	843.0189	0.9598531	0.05233778	NA	"./Results/Model Fits/GRFA_bi_Quadr_Cavit_model.txt"	"GRFA"	"bi_Quadr_Cavit"
-411.7669	6	836.2905	835.5338	0.9141942	0.06388767	NA	"./Results/Model Fits/GRFA_bi_Quadr_DHeig_model.txt"	"GRFA"	"bi_Quadr_DHeig"
-531.7533	6	1076.263	1075.507	0.852382	-0.3064022	NA	"./Results/Model Fits/GRFA_bi_Quadr_Shrub_model.txt"	"GRFA"	"bi_Quadr_Shrub"
-412.248	8	841.8172	840.4961	0.9255091	0.06240275	NA	"./Results/Model Fits/GRFA_compl_no_Cavit_model.txt"	"GRFA"	"compl_no_Cavit"
-418.4326	8	854.1863	852.8652	0.9513214	0.04331664	NA	"./Results/Model Fits/GRFA_compl_no_DHeig_model.txt"	"GRFA"	"compl_no_DHeig"
-403.93	8	825.181	823.8599	0.9633572	0.08807314	NA	"./Results/Model Fits/GRFA_compl_no_Shrub_model.txt"	"GRFA"	"compl_no_Shrub"
-402.8404	8	823.0019	821.6808	0.9400664	0.09143567	NA	"./Results/Model Fits/GRFA_no_Cavit_Densi_model.txt"	"GRFA"	"no_Cavit_Densi"
-404.1868	8	825.6948	824.3737	0.9909979	0.08728037	NA	"./Results/Model Fits/GRFA_no_Cavit_DHeig_model.txt"	"GRFA"	"no_Cavit_DHeig"
-406.8104	8	830.942	829.6209	0.9996177	0.07918368	NA	"./Results/Model Fits/GRFA_no_Cavit_Quadr_model.txt"	"GRFA"	"no_Cavit_Quadr"
-475.0079	8	967.337	966.0159	0.8906729	-0.1312804	NA	"./Results/Model Fits/GRFA_no_DHeig_Densi_model.txt"	"GRFA"	"no_DHeig_Densi"
-426.5535	8	870.4281	869.107	0.9381295	0.01825465	NA	"./Results/Model Fits/GRFA_no_DHeig_Quadr_model.txt"	"GRFA"	"no_DHeig_Quadr"
-403.067	8	823.4551	822.134	0.9399323	0.09073638	NA	"./Results/Model Fits/GRFA_no_Quadr_Densi_model.txt"	"GRFA"	"no_Quadr_Densi"
-398.8404	8	815.0019	813.6808	0.9949048	0.10378	NA	"./Results/Model Fits/GRFA_no_Shrub_Cavit_model.txt"	"GRFA"	"no_Shrub_Cavit"
-398.8122	8	814.9454	813.6243	0.9781439	0.1038672	NA	"./Results/Model Fits/GRFA_no_Shrub_Densi_model.txt"	"GRFA"	"no_Shrub_Densi"
-384.6856	8	786.6923	785.3712	0.9604462	0.1474632	NA	"./Results/Model Fits/GRFA_no_Shrub_DHeig_model.txt"	"GRFA"	"no_Shrub_DHeig"
-394.2719	8	805.8648	804.5437	0.9907341	0.117879	NA	"./Results/Model Fits/GRFA_no_Shrub_Quadr_model.txt"	"GRFA"	"no_Shrub_Quadr"
-2692.995	2	5390.094	5389.989	35	-6.976203	NA	"./Results/Model Fits/GRFA_null_null_null_model.txt"	"GRFA"	"null_null_null"
-378.7583	12	784.488	781.5166	0.9910874	0.1657554	NA	"./Results/Model Fits/GRFA_penta_complete_model.txt"	"GRFA"	"penta_complete"
-399.253	10	820.5621	818.5061	0.9722839	0.1025066	NA	"./Results/Model Fits/GRFA_tetra_complete_model.txt"	"GRFA"	"tetra_complete"
-383.2467	10	788.5495	786.4934	0.9789395	0.1519037	NA	"./Results/Model Fits/GRFA_tetra_no_Cavit_model.txt"	"GRFA"	"tetra_no_Cavit"
-393.9326	10	809.9212	807.8651	0.9599935	0.1189261	NA	"./Results/Model Fits/GRFA_tetra_no_Densi_model.txt"	"GRFA"	"tetra_no_Densi"
-395.246	10	812.5481	810.492	0.9843996	0.1148726	NA	"./Results/Model Fits/GRFA_tetra_no_DHeig_model.txt"	"GRFA"	"tetra_no_DHeig"
-392.0049	10	806.0658	804.0097	0.9978374	0.1248752	NA	"./Results/Model Fits/GRFA_tetra_no_Quadr_model.txt"	"GRFA"	"tetra_no_Quadr"
-390.0948	10	802.2458	800.1897	0.9984988	0.1307696	NA	"./Results/Model Fits/GRFA_tetra_no_Shrub_model.txt"	"GRFA"	"tetra_no_Shrub"
-761.0831	4	1530.52	1530.166	0.6116125	-1.014136	NA	"./Results/Model Fits/GRFA_univaria_Basal_model.txt"	"GRFA"	"univaria_Basal"
-695.8443	4	1400.043	1399.689	0.6158217	-0.8128028	NA	"./Results/Model Fits/GRFA_univaria_Cavit_model.txt"	"GRFA"	"univaria_Cavit"
-536.7895	4	1081.933	1081.579	0.7692161	-0.3219444	NA	"./Results/Model Fits/GRFA_univaria_Densi_model.txt"	"GRFA"	"univaria_Densi"
-638.917	4	1286.188	1285.834	0.701886	-0.6371197	NA	"./Results/Model Fits/GRFA_univaria_DHeig_model.txt"	"GRFA"	"univaria_DHeig"
-455.9949	4	920.3438	919.9899	0.9684895	-0.07260441	NA	"./Results/Model Fits/GRFA_univaria_DVari_model.txt"	"GRFA"	"univaria_DVari"
-710.6571	4	1429.668	1429.314	0.6310306	-0.8585166	NA	"./Results/Model Fits/GRFA_univaria_Herba_model.txt"	"GRFA"	"univaria_Herba"
-432.389	4	873.132	872.778	0.88819	0.0002457246	NA	"./Results/Model Fits/GRFA_univaria_Quadr_model.txt"	"GRFA"	"univaria_Quadr"
-759.0626	4	1526.479	1526.125	0.5591618	-1.007901	NA	"./Results/Model Fits/GRFA_univaria_Shrub_model.txt"	"GRFA"	"univaria_Shrub"
-753.2335	4	1514.821	1514.467	0.6978304	-0.9899114	NA	"./Results/Model Fits/GRFA_univaria_Snags_model.txt"	"GRFA"	"univaria_Snags"
-637.788	4	1283.93	1283.576	0.9993181	-0.6336353	NA	"./Results/Model Fits/GRFA_univaria_Thick_model.txt"	"GRFA"	"univaria_Thick"
-222.762	6	458.2807	457.5239	0.9958612	0.430872	NA	"./Results/Model Fits/GRNA_bi_Basal_Cavit_model.txt"	"GRNA"	"bi_Basal_Cavit"
-242.6895	6	498.1357	497.379	0.9900153	0.3316715	NA	"./Results/Model Fits/GRNA_bi_Basal_DHeig_model.txt"	"GRNA"	"bi_Basal_DHeig"
-252.8351	6	518.427	517.6703	0.8951359	0.2811658	NA	"./Results/Model Fits/GRNA_bi_Basal_Shrub_model.txt"	"GRNA"	"bi_Basal_Shrub"
-367.9899	6	748.7366	747.9798	0.7989982	-0.2920819	NA	"./Results/Model Fits/GRNA_bi_Cavit_Shrub_model.txt"	"GRNA"	"bi_Cavit_Shrub"
-311.3285	6	635.4137	634.6569	0.9600313	-0.01001766	NA	"./Results/Model Fits/GRNA_bi_Densi_Cavit_model.txt"	"GRNA"	"bi_Densi_Cavit"
-256.4763	6	525.7093	524.9526	0.9609126	0.2630399	NA	"./Results/Model Fits/GRNA_bi_Densi_DHeig_model.txt"	"GRNA"	"bi_Densi_DHeig"
-246.0641	6	504.885	504.1282	0.9701087	0.3148725	NA	"./Results/Model Fits/GRNA_bi_Densi_Quadr_model.txt"	"GRNA"	"bi_Densi_Quadr"
-280.2423	6	573.2414	572.4846	0.8728193	0.1447312	NA	"./Results/Model Fits/GRNA_bi_Densi_Shrub_model.txt"	"GRNA"	"bi_Densi_Shrub"
-257.2627	6	527.2822	526.5254	1.001853	0.259125	NA	"./Results/Model Fits/GRNA_bi_DHeig_Cavit_model.txt"	"GRNA"	"bi_DHeig_Cavit"
-262.2732	6	537.3032	536.5464	0.9737571	0.2341825	NA	"./Results/Model Fits/GRNA_bi_DHeig_Shrub_model.txt"	"GRNA"	"bi_DHeig_Shrub"
-262.4046	6	537.5659	536.8091	0.9758996	0.2335286	NA	"./Results/Model Fits/GRNA_bi_Quadr_Cavit_model.txt"	"GRNA"	"bi_Quadr_Cavit"
-255.4369	6	523.6306	522.8739	0.9675005	0.2682139	NA	"./Results/Model Fits/GRNA_bi_Quadr_DHeig_model.txt"	"GRNA"	"bi_Quadr_DHeig"
-262.2468	6	537.2504	536.4936	0.9539581	0.2343139	NA	"./Results/Model Fits/GRNA_bi_Quadr_Shrub_model.txt"	"GRNA"	"bi_Quadr_Shrub"
-242.571	8	502.4632	501.1421	0.9905746	0.3322611	NA	"./Results/Model Fits/GRNA_compl_no_Cavit_model.txt"	"GRNA"	"compl_no_Cavit"
-222.7497	8	462.8205	461.4994	1.000214	0.4309331	NA	"./Results/Model Fits/GRNA_compl_no_DHeig_model.txt"	"GRNA"	"compl_no_DHeig"
-222.7389	8	462.7988	461.4777	1.009226	0.4309869	NA	"./Results/Model Fits/GRNA_compl_no_Shrub_model.txt"	"GRNA"	"compl_no_Shrub"
-253.4867	8	524.2945	522.9734	0.9876089	0.2779223	NA	"./Results/Model Fits/GRNA_no_Cavit_Densi_model.txt"	"GRNA"	"no_Cavit_Densi"
-245.7478	8	508.8168	507.4957	0.9775682	0.3164468	NA	"./Results/Model Fits/GRNA_no_Cavit_DHeig_model.txt"	"GRNA"	"no_Cavit_DHeig"
-255.9906	8	529.3023	527.9812	0.9704727	0.2654576	NA	"./Results/Model Fits/GRNA_no_Cavit_Quadr_model.txt"	"GRNA"	"no_Cavit_Quadr"
-259.754	8	536.8291	535.508	0.9773646	0.2467233	NA	"./Results/Model Fits/GRNA_no_DHeig_Densi_model.txt"	"GRNA"	"no_DHeig_Densi"
-306.9018	8	631.1247	629.8036	0.9689054	0.01201866	NA	"./Results/Model Fits/GRNA_no_DHeig_Quadr_model.txt"	"GRNA"	"no_DHeig_Quadr"
-254.9943	8	527.3097	525.9886	0.9927378	0.2704173	NA	"./Results/Model Fits/GRNA_no_Quadr_Densi_model.txt"	"GRNA"	"no_Quadr_Densi"
-245.039	8	507.3991	506.078	0.9797463	0.3199754	NA	"./Results/Model Fits/GRNA_no_Shrub_Cavit_model.txt"	"GRNA"	"no_Shrub_Cavit"
-252.0277	8	521.3765	520.0554	0.997215	0.2851852	NA	"./Results/Model Fits/GRNA_no_Shrub_Densi_model.txt"	"GRNA"	"no_Shrub_Densi"
-227.2289	8	471.7789	470.4578	1.00072	0.4086353	NA	"./Results/Model Fits/GRNA_no_Shrub_DHeig_model.txt"	"GRNA"	"no_Shrub_DHeig"
-238.1551	8	493.6312	492.3101	1.000627	0.3542442	NA	"./Results/Model Fits/GRNA_no_Shrub_Quadr_model.txt"	"GRNA"	"no_Shrub_Quadr"
-2347.795	2	4699.694	4699.589	21.66667	-10.14767	NA	"./Results/Model Fits/GRNA_null_null_null_model.txt"	"GRNA"	"null_null_null"
-226.0311	12	479.0337	476.0623	1.004279	0.4145977	NA	"./Results/Model Fits/GRNA_penta_complete_model.txt"	"GRNA"	"penta_complete"
-222.7578	10	467.5716	465.5155	0.9999671	0.4308929	NA	"./Results/Model Fits/GRNA_tetra_complete_model.txt"	"GRNA"	"tetra_complete"
-244.9768	10	512.0098	509.9537	0.9820254	0.3202849	NA	"./Results/Model Fits/GRNA_tetra_no_Cavit_model.txt"	"GRNA"	"tetra_no_Cavit"
-250.4186	10	522.8933	520.8373	1.018553	0.2931953	NA	"./Results/Model Fits/GRNA_tetra_no_Densi_model.txt"	"GRNA"	"tetra_no_Densi"
-227.2428	10	476.5417	474.4856	1.00398	0.408566	NA	"./Results/Model Fits/GRNA_tetra_no_DHeig_model.txt"	"GRNA"	"tetra_no_DHeig"
