""	"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File"	"Variable"	"PDF"	"Model"
"55"	-510.8244	10	1043.705	1041.649	0.9993835	0.389978	NA	"./Results/Model Fits/Abun/SPEA_PIUNs_pool.full.model.txt"	"SPEA"	"PIUNs"	"full.model"
"56"	-519.4582	8	1056.237	1054.916	0.9957457	0.3768892	NA	"./Results/Model Fits/Abun/SPEA_PIUNs_pool.noba.model.txt"	"SPEA"	"PIUNs"	"noba.model"
"57"	-509.0807	8	1035.483	1034.161	0.9970372	0.3926214	NA	"./Results/Model Fits/Abun/SPEA_PIUNs_pool.nocv.model.txt"	"SPEA"	"PIUNs"	"nocv.model"
"58"	-752.0389	8	1521.399	1520.078	0.9569789	0.02429725	NA	"./Results/Model Fits/Abun/SPEA_PIUNs_pool.noho.model.txt"	"SPEA"	"PIUNs"	"noho.model"
"59"	-515.5146	8	1048.35	1047.029	0.9997872	0.3828676	NA	"./Results/Model Fits/Abun/SPEA_PIUNs_pool.nosh.model.txt"	"SPEA"	"PIUNs"	"nosh.model"
"60"	-2139.935	2	4283.974	4283.869	82.4375	-2.079751	NA	"./Results/Model Fits/Abun/SPEA_PIUNs_pool.null.model.txt"	"SPEA"	"PIUNs"	"null.model"
"61"	-1024.902	10	2071.859	2069.803	0.9978608	0.2070021	NA	"./Results/Model Fits/Abun/TOTA_PIUNs_pool.full.model.txt"	"TOTA"	"PIUNs"	"full.model"
"62"	-1237.294	8	2491.909	2490.588	0.9840067	0.02322408	NA	"./Results/Model Fits/Abun/TOTA_PIUNs_pool.noba.model.txt"	"TOTA"	"PIUNs"	"noba.model"
"63"	-1022.388	8	2062.097	2060.776	0.9980912	0.2091773	NA	"./Results/Model Fits/Abun/TOTA_PIUNs_pool.nocv.model.txt"	"TOTA"	"PIUNs"	"nocv.model"
"64"	-1291.419	8	2600.158	2598.837	0.9807406	-0.02360878	NA	"./Results/Model Fits/Abun/TOTA_PIUNs_pool.noho.model.txt"	"TOTA"	"PIUNs"	"noho.model"
"65"	-1029.022	8	2075.366	2074.044	0.9979964	0.2034368	NA	"./Results/Model Fits/Abun/TOTA_PIUNs_pool.nosh.model.txt"	"TOTA"	"PIUNs"	"nosh.model"
"66"	-2361.935	2	4727.974	4727.869	96.79167	-0.9499019	NA	"./Results/Model Fits/Abun/TOTA_PIUNs_pool.null.model.txt"	"TOTA"	"PIUNs"	"null.model"
"67"	-139.5666	10	301.1892	299.1331	0.9794522	0.1130969	NA	"./Results/Model Fits/Abun/TRFA_PIUNs_pool.full.model.txt"	"TRFA"	"PIUNs"	"full.model"
"68"	-140.097	8	297.5152	296.1941	0.9753183	0.09798383	NA	"./Results/Model Fits/Abun/TRFA_PIUNs_pool.noba.model.txt"	"TRFA"	"PIUNs"	"noba.model"
"69"	-140.598	8	298.5171	297.196	0.9810883	0.08371221	NA	"./Results/Model Fits/Abun/TRFA_PIUNs_pool.nocv.model.txt"	"TRFA"	"PIUNs"	"nocv.model"
"70"	-148.6206	8	314.5622	313.2411	0.9327006	-0.1448395	NA	"./Results/Model Fits/Abun/TRFA_PIUNs_pool.noho.model.txt"	"TRFA"	"PIUNs"	"noho.model"
"71"	-139.6582	8	296.6374	295.3163	0.9859073	0.1104872	NA	"./Results/Model Fits/Abun/TRFA_PIUNs_pool.nosh.model.txt"	"TRFA"	"PIUNs"	"nosh.model"
"72"	-359.1947	2	722.4938	722.3895	47.5	-6.143815	NA	"./Results/Model Fits/Abun/TRFA_PIUNs_pool.null.model.txt"	"TRFA"	"PIUNs"	"null.model"
"73"	-170.5653	10	363.1867	361.1307	0.9980234	0.4819708	NA	"./Results/Model Fits/Abun/UBIA_PIUNs_pool.full.model.txt"	"UBIA"	"PIUNs"	"full.model"
"74"	-188.6606	8	394.6424	393.3213	1.034492	0.3310967	NA	"./Results/Model Fits/Abun/UBIA_PIUNs_pool.noba.model.txt"	"UBIA"	"PIUNs"	"noba.model"
"75"	-178.2823	8	373.8858	372.5647	0.9783189	0.4176282	NA	"./Results/Model Fits/Abun/UBIA_PIUNs_pool.nocv.model.txt"	"UBIA"	"PIUNs"	"nocv.model"
"76"	-171.0927	8	359.5065	358.1854	0.9446374	0.4775736	NA	"./Results/Model Fits/Abun/UBIA_PIUNs_pool.noho.model.txt"	"UBIA"	"PIUNs"	"noho.model"
"77"	-170.56	8	358.4411	357.12	1.006789	0.4820153	NA	"./Results/Model Fits/Abun/UBIA_PIUNs_pool.nosh.model.txt"	"UBIA"	"PIUNs"	"nosh.model"
"78"	-1613.775	2	3231.654	3231.549	15.89286	-11.55115	NA	"./Results/Model Fits/Abun/UBIA_PIUNs_pool.null.model.txt"	"UBIA"	"PIUNs"	"null.model"
"79"	-276.5746	10	575.2052	573.1491	0.9869713	0.06670277	NA	"./Results/Model Fits/Abun/UNFA_PIUNs_pool.full.model.txt"	"UNFA"	"PIUNs"	"full.model"
"80"	-300.1175	8	617.5561	616.235	0.9333267	-0.06397748	NA	"./Results/Model Fits/Abun/UNFA_PIUNs_pool.noba.model.txt"	"UNFA"	"PIUNs"	"noba.model"
"81"	-278.2621	8	573.8454	572.5243	0.9740077	0.05733553	NA	"./Results/Model Fits/Abun/UNFA_PIUNs_pool.nocv.model.txt"	"UNFA"	"PIUNs"	"nocv.model"
"82"	-305.9028	8	629.1267	627.8056	0.9144645	-0.09608997	NA	"./Results/Model Fits/Abun/UNFA_PIUNs_pool.noho.model.txt"	"UNFA"	"PIUNs"	"noho.model"
"83"	-288.3089	8	593.9389	592.6178	0.9574599	0.00156871	NA	"./Results/Model Fits/Abun/UNFA_PIUNs_pool.nosh.model.txt"	"UNFA"	"PIUNs"	"nosh.model"
"84"	-1391.575	2	2787.254	2787.149	38.28125	-6.122352	NA	"./Results/Model Fits/Abun/UNFA_PIUNs_pool.null.model.txt"	"UNFA"	"PIUNs"	"null.model"
"85"	-314.5699	10	651.1958	649.1398	1.010203	0.1362235	NA	"./Results/Model Fits/Abun/UNNA_PIUNs_pool.full.model.txt"	"UNNA"	"PIUNs"	"full.model"
"86"	-344.1459	8	705.613	704.2919	0.9446206	0.01228976	NA	"./Results/Model Fits/Abun/UNNA_PIUNs_pool.noba.model.txt"	"UNNA"	"PIUNs"	"noba.model"
"87"	-316.6915	8	650.7041	649.383	0.9842187	0.1273332	NA	"./Results/Model Fits/Abun/UNNA_PIUNs_pool.nocv.model.txt"	"UNNA"	"PIUNs"	"nocv.model"
"88"	-361.9897	8	741.3006	739.9795	0.9195579	-0.06248187	NA	"./Results/Model Fits/Abun/UNNA_PIUNs_pool.noho.model.txt"	"UNNA"	"PIUNs"	"noho.model"
"89"	-331.5954	8	680.512	679.1909	0.9723875	0.06488065	NA	"./Results/Model Fits/Abun/UNNA_PIUNs_pool.nosh.model.txt"	"UNNA"	"PIUNs"	"nosh.model"
"90"	-1673.995	2	3352.094	3351.989	40.27778	-5.56023	NA	"./Results/Model Fits/Abun/UNNA_PIUNs_pool.null.model.txt"	"UNNA"	"PIUNs"	"null.model"
